price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source
7300000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850,28.72407532,77.09558105,3,2,1,Ready to Move,New Property,Semi-Furnished,Flat,8588.235294,New Delhi,original
7700000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250,28.436305,77.13605,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,6160,Gurgaon,original
10500000,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615,28.51313972,77.0259552,3,3,3,Ready to Move,Resale,Unfurnished,Flat,6501.547988,Gurgaon,original
7200000,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200,28.50746138,77.40781667,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,6000,Noida,original
7000000,"G T Road, Ghaziabad, Delhi NCR",1690,28.679009,77.34929514,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,4142.011834,Ghaziabad,original
9500000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000,28.72143555,77.10701752,3,2,1,Ready to Move,New Property,Semi-Furnished,Individual House,9500,New Delhi,original
15000000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450,28.72721291,77.09606171,4,3,1,Ready to Move,New Property,Semi-Furnished,Individual House,10344.82759,New Delhi,original
4800000,"Noida Extension, Noida, Delhi NCR",1175,28.61607805,77.42810225,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4085.106383,Noida,original
5100000,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087,28.64431,77.33178711,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4691.812328,Ghaziabad,original
14000000,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845,28.54692971,77.35438729,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,7588.075881,Noida,original
6250000,"Sector 37C, Gurgaon, Delhi NCR",1400,28.449384,76.98441,2,2,2,Ready to Move,New Property,Semi-Furnished,Flat,4464.285714,Gurgaon,original
8700000,"Sushant Lok 2, Gurgaon, Delhi NCR",1600,28.423049,77.08741,3,2,1,Ready to Move,Resale,Unfurnished,Flat,5437.5,Gurgaon,original
13000000,"Sector 29, Noida, Delhi NCR",1950,28.56973716,77.33241167,3,3,2,Ready to Move,Resale,Semi-Furnished,Individual House,6666.666667,Noida,original
15000000,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800,28.529146,77.355843,2,3,1,Ready to Move,New Property,Semi-Furnished,Flat,8333.333333,Noida,original
5500000,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",1440,28.58749935,77.44316979,3,2,5,Ready to Move,Resale,Semi-Furnished,Flat,3819.444444,Noida,original
4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,4038.461538,Noida,original
3900000,"Noida extension., Noida Extension, Greater Noida, Delhi NCR",1025,28.57223,77.474898,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,3804.878049,Greater Noida,original
10000000,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836,28.6571606,77.355748,3,2,2,Ready to Move,Resale,Semi-Furnished,Individual House,5446.623094,Ghaziabad,original
7600000,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350,28.645769,77.38511,3,2,4,Ready to Move,Resale,Semi-Furnished,Flat,5629.62963,Ghaziabad,original
3900000,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800,28.387731,76.96791987,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,4875,Gurgaon,original
9000000,"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",1481,28.49744987,77.02709198,2,2,2,Ready to Move,Resale,Unfurnished,Flat,6076.975017,Gurgaon,original
8350000,"lotus boulevard, Sector 100, Noida, Delhi NCR",1398,28.54341218,77.367853,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,5972.818312,Noida,original
13500000,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",2150,28.43520877,77.09022523,3,3,4,Ready to Move,Resale,Semi-Furnished,Individual House,6279.069767,Gurgaon,original
5310000,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100,28.6467392,77.3709475,3,2,2,Ready to Move,Resale,Furnished,Flat,4827.272727,Ghaziabad,original
15000000,"Sector 68, Gurgaon, Delhi NCR",1960,28.3907304,77.05782257,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,7653.061224,Gurgaon,original
17500000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",2450,28.482277,76.99199526,3,3,3,Ready to Move,New Property,Semi-Furnished,Flat,7142.857143,Gurgaon,original
5000000,"Aspire1106, Sector 78, Noida, Delhi NCR",1000,28.5604873,77.384084,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,5000,Noida,original
3500000,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",850,28.55985069,77.24765015,2,2,1,Ready to Move,Resale,Furnished,Flat,4117.647059,New Delhi,original
4550000,"Krishna Park Colony, New Delhi - South, Delhi NCR",950,28.50809,77.2314673,3,2,1,Ready to Move,New Property,Semi-Furnished,Flat,4789.473684,New Delhi,original
4000000,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",700,28.558586,77.2511855,2,2,2,Ready to Move,Resale,Unfurnished,Flat,5714.285714,New Delhi,original
3500000,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",750,28.68956947,77.33861542,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4666.666667,Ghaziabad,original
3500000,"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",950,28.5905383,77.35981,2,2,1,Ready to Move,Resale,Semi-Furnished,Individual House,3684.210526,Noida,original
2400000,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",540,28.5922718,77.0836792,2,2,1,Ready to Move,New Property,Semi-Furnished,Flat,4444.444444,New Delhi,original
9500000,"Patel Nagar West, New Delhi - West, Delhi NCR",1200,28.652429,77.1643181,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,7916.666667,New Delhi,original
10500000,"Sector 65, Gurgaon, Delhi NCR",1020,28.3978564,77.07393158,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,10294.11765,Gurgaon,original
7500000,"G 033., Sector 108, Gurgaon, Delhi NCR",1505,28.512136,76.986899,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4983.388704,Gurgaon,original
4800000,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",1232,28.65280724,77.4509201,6,3,2,Ready to Move,Resale,Unfurnished,Flat,3896.103896,Ghaziabad,original
5600000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929,28.436305,77.13605,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,6027.987083,Gurgaon,original
8500000,"Vaishali, Ghaziabad, Delhi NCR",1350,28.647938,77.340697,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,6296.296296,Ghaziabad,original
4700000,"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1085,28.646509,77.38148828,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4331.797235,Ghaziabad,original
8500000,"Sector 108, Gurgaon, Delhi NCR",1790,28.512136,76.986899,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,4748.603352,Gurgaon,original
10000000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689,28.487018,76.998009,3,3,4,Ready to Move,New Property,Semi-Furnished,Flat,5920.663114,Gurgaon,original
18000000,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411,28.391644,77.06486457,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,7465.781833,Gurgaon,original
12400000,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.6016823,77.03193279,3,2,2,Ready to Move,Resale,Semi-Furnished,Flat,7515.151515,New Delhi,original
7700000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685,28.50920801,77.40662554,3,4,4,Ready to Move,Resale,Unfurnished,Flat,4569.732938,Noida,original
6000000,"Vaishali, Ghaziabad, Delhi NCR",1050,28.648794,77.34253225,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,5714.285714,Ghaziabad,original
12500000,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59344,77.065951,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,9615.384615,New Delhi,original
6380000,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170,28.49589348,77.18599701,3,2,1,Ready to Move,New Property,Semi-Furnished,Flat,5452.991453,New Delhi,original
7400000,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275,28.28709602,77.06906128,2,2,2,Ready to Move,New Property,Semi-Furnished,Flat,5803.921569,Gurgaon,original
8400000,"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",1890,28.410466,76.962531,3,3,4,Ready to Move,Resale,Semi-Furnished,Flat,4444.444444,Gurgaon,original
6400000,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455,28.570142,77.386273,3,2,3,Ready to Move,Resale,Semi-Furnished,Individual House,4398.62543,Noida,original
19000000,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768,28.59343183,77.04427276,3,2,2,Ready to Move,Resale,Semi-Furnished,Flat,10746.60633,New Delhi,original
4300000,"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",1295,28.566914,77.436434,2,2,4,Ready to Move,Resale,Semi-Furnished,Individual House,3320.46332,Greater Noida,original
23800000,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",3500,28.4818021,77.2200217,4,5,3,Ready to Move,Resale,Semi-Furnished,Flat,6800,Faridabad,original
10500000,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850,28.548787,77.346032,3,4,2,Ready to Move,Resale,Semi-Furnished,Flat,5675.675676,Noida,original
10800000,"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",1966,28.247592,77.069185,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,5493.387589,Gurgaon,original
5500000,"Indirapuram, Ghaziabad, Delhi NCR",1350,28.6493479,77.3696259,2,2,2,Ready to Move,Resale,Furnished,Flat,4074.074074,Ghaziabad,original
4320000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040,28.509118,77.413416,2,2,3,Ready to Move,New Property,Semi-Furnished,Flat,4153.846154,Noida,original
3000000,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",800,28.6452824,77.3621025,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,3750,Ghaziabad,original
3500000,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950,28.579593,77.445197,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,3684.210526,Greater Noida,original
16000000,"F-54., South City 2, Gurgaon, Delhi NCR",2000,28.4178669,77.0512457,4,4,3,Ready to Move,Resale,Semi-Furnished,Flat,8000,Gurgaon,original
3000000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900,28.685449,77.5092258,2,2,3,Ready to Move,Resale,Semi-Furnished,Individual House,3333.333333,Ghaziabad,original
3300000,"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",960,28.51284137,77.48955332,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,3437.5,Greater Noida,original
8200000,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",1371,28.433653,77.152919,2,2,3,Ready to Move,New Property,Semi-Furnished,Flat,5981.03574,Gurgaon,original
6000000,"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",1750,28.475274,77.545978,3,3,1,Ready to Move,Resale,Semi-Furnished,Flat,3428.571429,Greater Noida,original
4100000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1299,28.519997,77.376873,3,2,4,Ready to Move,Resale,Semi-Furnished,Flat,3156.274057,Ghaziabad,original
5200000,"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",1365,28.60595894,77.44451141,3,2,3,Ready to Move,Resale,Furnished,Flat,3809.52381,Noida,original
21000000,"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",2800,28.4655907,77.5114027,4,5,4,Ready to Move,Resale,Unfurnished,Flat,7500,Greater Noida,original
2650000,"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",835,28.609898,77.436343,2,2,2,Ready to Move,Resale,Unfurnished,Flat,3173.652695,Greater Noida,original
10000000,"Paschim Vihar, New Delhi - West, Delhi NCR",1000,28.6677244,77.0979515,2,2,2,Ready to Move,Resale,Unfurnished,Individual House,10000,New Delhi,original
4500000,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000,28.63472366,77.04911041,3,2,1,Ready to Move,Resale,Semi-Furnished,Flat,4500,New Delhi,original
6900000,"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",1260,28.58548927,77.39931488,2,2,3,Ready to Move,Resale,Unfurnished,Flat,5476.190476,Noida,original
13500000,"Sector 99, Gurgaon, Delhi NCR",2425,28.44456311,76.9550119,4,4,2,Ready to Move,Resale,Semi-Furnished,Flat,5567.010309,Gurgaon,original
4500000,"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",1198,28.63336372,77.43121338,3,2,1,Ready to Move,Resale,Furnished,Flat,3756.260434,Ghaziabad,original
32500000,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000,28.4969141,77.1652546,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,10833.33333,New Delhi,original
11000000,"Sector 71, Gurgaon, Delhi NCR",1743,28.419032,77.028272,3,3,2,Ready to Move,New Property,Semi-Furnished,Individual House,6310.958118,Gurgaon,original
3200000,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650,28.59803581,77.07652283,2,2,1,Ready to Move,Resale,Unfurnished,Flat,4923.076923,New Delhi,original
3200000,"greater noida, Jalvayu Vihar, Greater Noida, Delhi NCR",815,28.446343,77.515305,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,3926.380368,Greater Noida,original
3400000,"Bhopura, Ghaziabad, Delhi NCR",1050,28.7005505,77.3286995,2,2,2,Ready to Move,Resale,Unfurnished,Flat,3238.095238,Ghaziabad,original
11100000,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100,28.46847725,77.31389618,4,3,2,Ready to Move,Resale,Furnished,Flat,5285.714286,Faridabad,original
3500000,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900,28.6809994,77.356998,2,2,1,Ready to Move,Resale,Unfurnished,Flat,3888.888889,Ghaziabad,original
12500000,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country, Gurgaon, Delhi NCR",1836,28.414627,77.060127,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,6808.278867,Gurgaon,original
8500000,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A, Noida, Delhi NCR",1495,28.502597,77.428742,3,2,2,Ready to Move,Resale,Semi-Furnished,Flat,5685.618729,Noida,original
4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4038.461538,Noida,original
9000000,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250,28.64015875,77.0662659,2,2,2,Ready to Move,Resale,Semi-Furnished,Individual House,7200,New Delhi,original
14000000,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500,28.68651581,77.29942322,3,2,1,Ready to Move,Resale,Semi-Furnished,Flat,5600,New Delhi,original
8900000,"Sector 37D, Gurgaon, Delhi NCR",1815,28.45251307,76.97627035,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,4903.581267,Gurgaon,original
3200000,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041,28.70183798,77.42320672,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,3073.967339,Ghaziabad,original
15000000,"S Block, Sector 49, Gurgaon, Delhi NCR",2000,28.412109,77.049522,4,4,3,Ready to Move,Resale,Semi-Furnished,Flat,7500,Gurgaon,original
9200000,"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",1960,28.393665,76.962842,3,3,3,Ready to Move,Resale,Semi-Furnished,Individual House,4693.877551,Gurgaon,original
11500000,"sector 84, Sihi, Gurgaon, Delhi NCR",1963,28.406752,76.96474017,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,5858.380031,Gurgaon,original
6000000,"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",1246,28.58632879,77.40106202,2,2,3,Ready to Move,Resale,Semi-Furnished,Individual House,4815.40931,Noida,original
3900000,"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",1085,28.473679,77.506258,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,3594.470046,Greater Noida,original
3600000,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",995,28.606945,77.45557857,2,2,3,Ready to Move,Resale,Semi-Furnished,Individual House,3618.090452,Greater Noida,original
49000000,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",6168,28.470149,77.535673,5,5,3,Ready to Move,Resale,Semi-Furnished,Flat,7944.228275,Greater Noida,original
7500000,"Sector 77, Gurgaon, Delhi NCR",1260,28.3824895,76.9823169,2,2,2,Ready to Move,New Property,Semi-Furnished,Individual House,5952.380952,Gurgaon,original
18000000,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700,28.5884566,77.304787,4,3,1,Ready to Move,Resale,Semi-Furnished,Individual House,10588.23529,New Delhi,original
17200000,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025,28.58584227,77.06062479,3,2,4,Ready to Move,Resale,Semi-Furnished,Flat,8493.82716,New Delhi,original
17000000,"Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66662979,77.15222168,3,2,2,Ready to Move,Resale,Semi-Furnished,Flat,10625,New Delhi,original
5500000,"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",1150,28.4974556,77.02713776,3,2,1,Ready to Move,Resale,Semi-Furnished,Flat,4782.608696,Gurgaon,original
13000000,"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",2300,28.65584564,77.3682251,4,4,3,Ready to Move,Resale,Unfurnished,Flat,5652.173913,Ghaziabad,original
9900000,"Sector 90, Gurugram, Haryana 122505, Sector 90, Gurgaon, Delhi NCR",1760,28.407361,76.93426176,3,2,4,Ready to Move,Resale,Semi-Furnished,Flat,5625,Gurgaon,original
7000000,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",559,28.7295315,77.106949,2,2,2,Ready to Move,Resale,Unfurnished,Individual House,12522.36136,New Delhi,original
5150000,"Sector 143, Noida, Sector 143, Noida, Delhi NCR",1234,28.500621,77.424203,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4173.419773,Noida,original
7500000,"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",700,28.66287399,77.09776702,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,10714.28571,New Delhi,original
2630000,"415  81High street mall sector 81 not pull greater Faridabad, Sector 81, Faridabad, Delhi NCR",750,28.3924408,77.34424591,3,2,2,Ready to Move,New Property,Unfurnished,Flat,3506.666667,Faridabad,original
4600000,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000,28.618239,77.054361,3,2,2,Under Construction,New Property,Semi-Furnished,Flat,4600,New Delhi,original
7500000,"G Tower, Amrapali Sapphire Phase I, Sector 45, Noida, Delhi NCR",1390,28.548787,77.346032,3,2,3,Ready to Move,Resale,Semi-Furnished,Flat,5395.683453,Noida,original
7000000,"Sector 69, Gurgaon, Sector 69, Gurgaon, Delhi NCR",1326,28.397731,77.036526,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,5279.034691,Gurgaon,original
5800000,"Sector 129, Noida, Delhi NCR",1270,28.524543,77.364765,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,4566.929134,Noida,original
5200000,"Sector 143, Noida, Delhi NCR",1175,28.500621,77.424203,2,2,2,Ready to Move,Resale,Semi-Furnished,Individual House,4425.531915,Noida,original
26000000,"Sector 128 Noida, Sector 128, Noida, Delhi NCR",3755,28.52798043,77.354191,4,6,2,Ready to Move,New Property,Semi-Furnished,Flat,6924.101198,Noida,original
20000000,"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",1650,28.666059,77.150134,3,3,4,Ready to Move,Resale,Semi-Furnished,Flat,12121.21212,New Delhi,original
3200000,"895., Mehrauli, New Delhi - South, Delhi NCR",800,28.5201861,77.179158,2,2,1,Ready to Move,New Property,Unfurnished,Flat,4000,New Delhi,original
8500000,"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",1100,28.6288025,77.0958556,2,2,2,Ready to Move,Resale,Furnished,Flat,7727.272727,New Delhi,original
4320000,"Sector 67, Gurgaon, Delhi NCR",800,28.38762,77.06237,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,5400,Gurgaon,original
6710000,"Vasundhara, Ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",1180,28.65493,77.350989,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,5686.440678,Ghaziabad,original
16900000,"firstfloor, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",1935,28.45451736,77.08187103,3,4,2,Ready to Move,Resale,Semi-Furnished,Flat,8733.850129,Gurgaon,original
12500000,"Sec 30, Near N M C hospital, Noida, Ram Vihar, Noida, Delhi NCR",1800,28.576661,77.339673,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,6944.444444,Noida,original
5000000,"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117, Noida, Delhi NCR",1200,28.57763481,77.39510345,3,2,3,Ready to Move,Resale,Unfurnished,Flat,4166.666667,Noida,original
12000000,"Lajpat Nagar, New Delhi, Lajpat Nagar 4, New Delhi - South, Delhi NCR",1250,28.564363,77.24171,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,9600,New Delhi,original
2700000,"Plot Number 6 Flat number 101  Hans enclave Gurgaon, Hans Enclave, Gurgaon, Delhi NCR",770,28.49746704,77.02709961,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,3506.493506,Gurgaon,original
11000000,"Vasundhara Enclave, New Delhi - East, Delhi NCR",1200,28.6017251,77.3178069,3,2,2,Ready to Move,Resale,Furnished,Flat,9166.666667,New Delhi,original
14000000,"Row House, Sector 21 Surya Vihar-, Gurgaon, Delhi NCR",2500,28.51766396,77.07933044,5,5,2,Ready to Move,Resale,Furnished,Flat,5600,Gurgaon,original
7500000,"Sector 37D, Gurgaon, Delhi NCR",1675,28.446568,76.968477,3,3,2,Ready to Move,Resale,Semi-Furnished,Flat,4477.61194,Gurgaon,original
12000000,"4a/301, Sector 85, Gurgaon, Delhi NCR",2520,28.406684,76.952289,4,3,3,Ready to Move,Resale,Semi-Furnished,Flat,4761.904762,Gurgaon,original
4100000,"Noida-Greater Noida Expy, Sector 134, Noida, Uttar Pradesh, Sector 134, Noida, Delhi NCR",1000,28.503955,77.384451,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,4100,Noida,original
5200000,"Indirapuram, Nyay Khand 1, Ghaziabad, Delhi NCR",1065,28.63350296,77.43159485,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,4882.629108,Ghaziabad,original
12500000,"Sector 70A, Gurgaon, Delhi NCR",1830,28.385432,77.017122,3,3,3,Ready to Move,Resale,Semi-Furnished,Flat,6830.601093,Gurgaon,original
15200000,"Sector 48, Gurgaon, Delhi NCR",2268,28.41492081,77.03590393,3,3,2,Ready to Move,New Property,Semi-Furnished,Flat,6701.940035,Gurgaon,original
10500000,"Sector 80, Gurgaon, Sector 80, Gurgaon, Delhi NCR",1821,28.37561513,76.95761609,3,3,3,Ready to Move,Resale,Semi-Furnished,Individual House,5766.062603,Gurgaon,original
4000000,"Yamuna Expressway, Greater Noida, Delhi NCR",1115,28.309616,77.55859,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,3587.443946,Greater Noida,original
3330000,"Sector 137, Noida, Delhi NCR",825,28.505584,77.410762,2,2,2,Ready to Move,Resale,Semi-Furnished,Individual House,4036.363636,Noida,original
